Class,Filename,Instrumentation,Key,Mode,Composer,CompLifetime,Country,Period,Period_Timeline
orchestra_baroque,CrossEra-0001_Albinoni__sinata_a_cinque_no._6_in_g_minor_op._2_1_adagio.mp3,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0002_Albinoni__sinata_a_cinque_no._6_in_g_minor_op._2_2_allegro.mp3,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0003_Albinoni__sinata_a_cinque_no._6_in_g_minor_op._2_3_grave.mp3,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0004_Albinoni__sinata_a_cinque_no._6_in_g_minor_op._2_4_allegro.mp3,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0005_Albinoni_concerto_in_a_minor_bwv_1044_adagio_ma_non_tanto_e_dolce.mp3,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0006_Albinoni_concerto_in_a_minor_bwv_1044_alla_breve.mp3,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0007_Albinoni_concerto_in_a_minor_bwv_1044_allegro.mp3,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0008_Albinoni_concerto_in_b_flat_major_op.9_no.11_adagio.mp3,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0009_Albinoni_concerto_in_b_flat_major_op.9_no.11_allegro.mp3,orchestra,Bb,major,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0010_Albinoni_concerto_in_c_major_op.9_no.5_adagio_non_troppo.mp3,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0011_Albinoni_concerto_in_c_major_op.9_no.5_allegro.mp3,orchestra,C,major,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0012_Albinoni_concerto_in_c_major_op.9_no.9_adagio_non_troppo.mp3,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0013_Albinoni_concerto_in_c_major_op.9_no.9_allegro.mp3,orchestra,C,major,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0014_Albinoni_concerto_in_d_minor_op.9_no.2_adagio.mp3,orchestra,Bb,major,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0015_Albinoni_concerto_in_d_minor_op.9_no.2_allegro.mp3,orchestra,D,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0016_Albinoni_concerto_in_d_minor_op.9_no.2_allegro_e_non_presto.mp3,orchestra,D,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0017_Albinoni_concerto_in_f_major_bwv_1057_allegro.mp3,orchestra,F,major,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0018_Albinoni_concerto_in_f_major_bwv_1057_allegro_assai.mp3,orchestra,F,major,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0019_Albinoni_concerto_in_f_major_bwv_1057_andante.mp3,orchestra,D,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0020_Albinoni_concerto_in_f_major_op.9_no.3_adagio_non_troppo.mp3,orchestra,D,minor,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
orchestra_baroque,CrossEra-0021_Albinoni_concerto_in_f_major_op.9_no.3_allegro.mp3,orchestra,F,major,Albinoni; Tomaso,1671-1751,Italy,Baroque,1600-1750
